0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class,
10348,11171,2094,70,309,13570,2609,17,0,0,21,0,0,0,0,0,4507,374,1661,442,6137,21789,19073,1345,0,25,16882,2514,0,0,0,26,0,0,0,0,3,864,213,1078,1,785,8795,9286,0,0,5,4042,0,0,0,0,0,0,0,1,0,0,443,748,0,0,363,4176,41245,8952,2031,0,6,8647,1874,2,0,0,0,0,0,0,0,0,529,4,3038,214,715,18195,6741,1299,0,0,4926,301,0,0,0,0,0,0,0,0,0,888,5,2618,0,482,7064,3666,0,0,0,985,0,0,0,0,0,0,0,0,0,0,61,177,0,0,61,31061,car,
4242,2010,1959,2111,650,2038,141,46,0,0,0,3,0,0,0,0,472,167,161,1253,663,8727,3646,1448,0,1302,5825,530,0,0,0,716,0,0,0,0,61,679,87,486,0,1267,10349,2602,0,0,235,1904,0,0,0,0,0,0,0,0,0,48,1380,436,0,0,742,3766,10157,354,3576,3221,77,678,2,16,0,0,0,0,0,0,0,0,2,0,2,567,321,7159,1245,265,0,83,1610,19,0,0,0,0,0,0,0,0,4,36,0,140,0,1550,11227,475,0,0,25,433,0,0,0,0,0,0,0,0,0,1,726,61,0,0,279,17841,car,
6688,3567,2515,1756,180,110,0,9,0,0,0,0,0,0,0,0,6155,253,571,1722,5987,9296,1324,2393,0,36,44,0,0,0,0,0,0,0,0,0,568,2149,254,971,188,2586,6275,2133,0,0,10,241,0,0,0,0,0,0,0,0,282,904,1771,542,0,10,2644,5364,374,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4657,0,4,9,3521,7194,33,81,0,0,0,0,0,0,0,0,0,0,0,0,48,2786,0,3,3,123,1592,7,0,0,0,0,0,0,0,0,0,0,0,0,556,2133,2210,0,0,0,13191,30928,car,
7476,2025,337,5,197,1230,2455,2596,0,8,80,3739,0,0,3,101,2615,105,0,0,1659,4723,420,34,0,63,737,1125,0,0,27,621,361,3,0,0,49,514,15,0,0,237,3271,195,0,0,82,724,48,1,0,0,5,33,1,0,0,12,210,13,0,0,231,4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42837,car,
7806,4868,4972,2044,5,17,1,0,0,0,0,0,0,0,0,0,1465,465,1035,1785,1050,5985,1990,3436,0,1,6,1,0,0,0,0,0,0,0,0,0,402,434,2017,0,130,4609,4151,0,0,29,23,0,0,0,0,0,0,0,0,0,0,279,1717,0,0,119,6699,12226,11,375,346,0,0,0,0,0,0,0,0,0,0,0,0,276,0,23,221,1271,1700,32,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,139,0,0,30,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,38744,car,
7936,215,0,0,572,2670,670,1,0,786,2493,5,0,0,20,0,3465,23,0,0,3025,13402,1094,0,0,328,4962,39,0,0,24,0,1206,0,0,0,2939,3651,2,0,1,2523,15200,671,0,0,2843,3120,26,0,0,0,2061,413,0,0,349,3850,9638,8,0,105,9602,8539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1540,0,0,0,345,105899,car,
9535,31,5,0,0,1,0,0,0,0,0,0,0,0,0,0,9171,5,0,0,5440,7028,13,0,0,2,0,0,0,0,0,0,194,0,0,0,2471,5694,1,0,0,1982,5133,15,0,0,0,1,0,0,0,0,251,20,0,0,81,1190,3250,3,0,0,2767,7954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62238,car,
12056,132,11,0,62,91,4,0,0,0,0,0,0,0,0,0,1998,65,1,0,1254,12576,164,1,0,59,67,0,0,0,0,0,0,0,0,0,11,1669,62,0,0,1131,8696,45,0,0,462,664,0,0,0,0,0,0,0,0,0,1,525,16,0,0,377,10806,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,10,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,9,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47982,car,
9488,5799,3729,1417,111,800,1043,699,0,0,0,0,0,0,0,0,370,237,131,43,246,12905,4187,3332,0,72,460,317,0,0,0,0,0,0,0,0,0,674,206,223,0,355,12136,4599,0,0,57,519,0,0,0,0,0,0,0,0,0,0,396,136,0,0,139,6884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71710,car,
13676,1975,169,6,2817,11880,2250,222,0,671,4189,248,0,0,5,0,7018,387,0,0,1472,5522,1334,43,0,201,5478,604,0,0,289,129,2532,0,0,0,3760,3444,34,0,0,797,4098,1338,0,0,7,266,236,0,0,0,3363,2470,0,0,584,3849,1213,16,0,199,867,1023,35841,193,19,0,375,4453,210,20,0,29,2364,20,0,0,0,0,9442,4,0,0,391,1458,50,2,0,0,2257,40,0,0,9,0,2165,0,0,0,3139,2590,0,0,0,441,4796,114,0,0,0,6,29,0,0,0,10930,728,0,0,424,4478,58,0,0,31,918,2657,car,
8365,32,19,0,167,13,16,7,0,0,0,0,0,0,0,0,352,22,1,0,977,12526,112,27,0,75,47,30,0,0,0,0,0,0,0,0,0,1052,167,0,0,434,16492,164,0,0,29,26,0,0,0,0,0,0,0,0,0,0,4001,233,0,0,547,12982,7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,5188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,356,40926,car,
2588,1243,464,0,49,565,367,31,0,24,319,334,0,2,1,151,2587,49,3,0,394,3686,1021,411,0,151,359,73,0,13,72,230,930,9,0,0,1055,2231,65,14,0,397,3082,472,0,0,479,409,71,1,0,0,33,231,2,0,0,112,610,65,0,0,371,3380,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,401,0,1,0,0,0,0,0,0,38,140,12,0,0,0,67,473,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27785,car,
